op_type,district,street,rooms,area,floor,total_floors,house_seria,house_type,condition,price,lat,lon
For sale,Dzegužkalns,Lielezeres 10,3,62.0,5.0,5.0,Jaun.,Masonry,All amenities,93150.0,56.95924805,24.055202274196077
For sale,Dzegužkalns,Lielezeres 10,3,85.0,5.0,5.0,Jaun.,Masonry,All amenities,117000.0,56.95924805,24.055202274196077
For sale,Dzegužkalns,Lielezeres 10,2,58.0,5.0,5.0,Jaun.,Masonry,All amenities,87000.0,56.95924805,24.055202274196077
For rent,Ziepniekkalns,Ozolciema 18,2,58.0,8.0,9.0,119.,Panel,All amenities,265.0,56.89859735,24.08767079999982
For sale,centrs,Lugažu 14,1,24.0,3.0,3.0,Staļina,Brick,All amenities,22500.0,56.97501495,24.106644609248
For rent,Ziepniekkalns,Graudu 13,4,223.0,2.0,2.0,Priv. m.,Brick-Panel,All amenities,1000.0,56.9088093,24.0913836
For sale,centrs,Klijānu 6,3,52.0,6.0,9.0,Jaun.,Panel-Brick,All amenities,79800.0,56.9726557,24.149311721285123
For rent,centrs,Lāčplēša 77,1,31.0,2.0,2.0,P. kara,Wood,All amenities,220.0,56.949693,24.133223367446323
For sale,Purvciems,Ieriķu 33,3,60.0,5.0,5.0,LT proj.,Panel,All amenities,55499.0,56.96662215,24.178668525371137
For sale,Ķengarags,Maskavas 250/6,3,60.0,2.0,5.0,LT proj.,Panel,All amenities,40000.0,56.887204000000004,24.233586399999997
For sale,Ķengarags,Lokomotīves 88,3,61.0,4.0,5.0,LT proj.,Panel,All amenities,49200.0,56.90193410000001,24.213842727808466
For rent,Purvciems,Dzelzavas 53,1,34.0,5.0,9.0,467.,Panel,All amenities,260.0,56.9571336,24.1909674
For sale,Mežciems,Kaivas 50/1,3,74.0,1.0,5.0,Jaun.,Brick-Panel,All amenities,92750.0,56.9541725,24.2443253
For sale,Mežciems,Kaivas 50/1,4,113.0,3.0,5.0,Jaun.,Brick-Panel,All amenities,141375.0,56.9541725,24.2443253
